"CoreyM","122707.84","166755.47","12369.44","16028.6837","0.00","0.00","67.53","79.6128"
"Default","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"JamesR","117245.50","166757.35","20701.65","19663.7563","0.00","0.00","50.04","60.6572"
"SamS","122595.80","167379.63","28626.53","4735.90","5.02","0.00","41.56","60.06"
"ShawnR","131592.68","175921.21","26077.74","2618.26","3.02","0.00","69.81","52.22"
"TomH","96151.62","133316.30","11725.87","4120.54","0.00","2.04","48.64","41.14"
"<Unassigned>","0.00","0.00","2335.83","0.00","0.00","0.00","27.09","0.00"
