"CoreyM","180197.6546","335514.3277","21375.93","25510.7487","0.00","0.00","134.57","165.0208"
"Default","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"JamesR","178765.1278","336989.0726","29941.73","26954.2218","0.00","0.00","104.93","86.6972"
"SamS","181652.8436","338140.3199","31265.29","13769.05","8.10","0.00","85.87","105.38"
"ShawnR","191298.4182","353085.6959","30206.62","17512.92","3.02","0.00","105.69","92.62"
"TomH","144337.6658","268495.7339","18005.67","19437.4395","0.00","2.04","86.04","100.012"
"<Unassigned>","0.00","0.00","534.61","0.00","0.00","0.00","0.00","0.00"
