"CoreyM","180197.6546","335514.3277","21375.93","26495.7402","0.00","0.00","134.57","219.3208"
"Default","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"JamesR","178765.1278","336989.0726","30069.56","27015.8103","0.00","0.00","104.93","123.0572"
"SamS","181652.8436","338140.3199","34163.18","13874.17","8.10","0.00","85.87","129.62"
"ShawnR","191298.4182","353085.6959","32711.79","20916.29","3.02","0.00","105.69","116.86"
"TomH","144337.6658","268495.7339","17721.53","28789.0395","0.00","2.04","86.04","148.492"
"<Unassigned>","0.00","0.00","1577.97","0.00","0.00","0.00","23.18","0.00"
