"CoreyM","153848.1846","166926.4088","13050.59","16039.0537","0.00","0.00","73.47","79.6128"
"Default","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"JamesR","154313.5878","166757.3512","20853.44","19663.7563","0.00","0.00","51.58","60.6572"
"SamS","153382.9836","167764.94","28910.03","4735.90","5.02","0.00","41.56","60.06"
"ShawnR","163643.1682","177631.0972","26391.68","2618.26","3.02","0.00","71.35","52.22"
"TomH","123898.4258","133316.3028","11849.19","4120.54","0.00","2.04","51.70","41.14"
"<Unassigned>","0.00","0.00","1974.03","0.00","0.00","0.00","0.00","0.00"
